(venv-python3.10-tensorflow) test@test:~/src/github/stock-Quantum/my-code/topology-4-20260209/data$ cat ai-robot-agent-uav-stock.txt
# ==============================================================================
# 台灣股市 - 機器人、AI軟體、AI Agent與無人機關鍵技術與重要股票清單
# 更新日期: 2026-05-27
# ==============================================================================

# ------------------------------------------------------------------------------
# 一、 機器人與具身智能 (Robotics & Embodied AI)
# ------------------------------------------------------------------------------
# 關鍵技術：3D視覺與感測融合(SLAM/避障)、微精密控制與傳動系統、原生AI視覺整合、具身智能數位孿生
2308.TW # 台達電, 自主研發六軸工業機器人與AMR/整廠自動化軟硬體與馬達驅動垂直整合
2359.TW # 所羅門, 3D視覺與AI辨識軟體平台先驅/與NVIDIA深度合作切入具身智能
2395.TW # 研華, 工業電腦龍頭/提供支援ROS 2的Edge AI硬體平台、邊緣運算模組與系統整合
6414.TW # 樺漢, 鴻海集團旗下工業電腦大廠/專精智慧製造與機器人視覺系統整合
2049.TW # 上銀, 機器人機械核心傳動元件/滾珠螺桿、線性滑軌及機器人關節手臂
4583.TW # 台灣精銳, 機器人關鍵機械核心/專精高精密減速機與齒輪箱研發
4585.TWO # 達明機器人, 廣達集團/內建原生AI視覺協作機器人/利用NVIDIA Omniverse導入數位孿生

# ------------------------------------------------------------------------------
# 二、 AI 軟體與生成式 AI (AI Software & GenAI)
# ------------------------------------------------------------------------------
# 關鍵技術：繁體中文與在地化LLM模型優化、Edge AI模型輕量化與部署、多模態AI數據分析
2353.TW # 華碩, 旗下台智雲提供福爾摩沙大模型與主權算力雲端平台(AFS)/企業AI訓練基礎設施
6752.TW # 叡揚, 深耕企業知識管理與法規AI搜尋/將AI語意搜尋深度整合進公部門與金融業舊系統
6925.TWO # 意藍, 專精AI語意分析、自然語言處理(NLP)與社群大數據預警系統

# ------------------------------------------------------------------------------
# 三、 AI Agent 與自動化流程 (AI Agent & Automation)
# ------------------------------------------------------------------------------
# 關鍵技術：企業級工作流程自動化、LLM與RAG(檢索增強生成)整合、多代理協同系統(Multi-Agent)
6214.TW # 精誠, 台灣系統整合(SI)龍頭/結合百林商智專利/推動醫療、零售等商務流程自動化Agent
6741.TW # 91APP-KY, 零售電商SaaS龍頭/研發品牌電商營運、文案生成與智慧客服之垂直領域AI Agent
6752.TW # 叡揚, 推出iota C.ai對話服務平台/結合大模型與RAG打造企業級數位員工(法規與行政Agent)

# ------------------------------------------------------------------------------
# 四、 無人機與防空反制系統 (UAV & C-UAS Mission Systems)
# ------------------------------------------------------------------------------
# 關鍵技術：非紅供應鏈(Clean Supply Chain)、Edge AI自主避障導控、抗干擾低軌衛星鏈路、群飛協同與中央指管
2535.TW # 雷虎, 無人機國家隊/與義隆電(2458)強強聯手導入Edge AI晶片與飛控影像演算法/通過美軍Blue UAS認證
2634.TW # 漢翔, 台灣航太龍頭/負責軍用商規無人機空中平台開發、航太級結構件量產與系統組裝
2645.TW # 長榮航太, 負責長興無人機等空中平台開發、系統組裝與關鍵零組件製造/國防部軍用商規標案大廠
5371.TW # 中光電, 旗下中光電智能機器人專精全自動無人機感測、AI邊緣運算與巡檢/打入美國供應鏈
2458.TW # 義隆, 晶片大廠/提供Edge AI邊緣運算晶片與自研GElanNet影像辨識演算法/與雷虎深度整合

