# ==============================================================================
# 台灣股市 - 軍工國防與商用無人機 (Drones) 邊緣視覺與非紅核心關鍵技術供應鏈
# 更新日期: 2026-06-14
# ==============================================================================

# 一、 無人機系統整合、軍工級載具平台與軍用商規標案 (核心成機廠)
# 說明：國家級無人機國家隊的核心主導者，實質承接國防部與海外軍工去中化訂單
8033.TW, 雷虎, 台灣無人機國家隊代表/自研軍用商規無人機與水下無人艇/打入美系軍工鏈
3491.TWO, 昇達科, 旗下芮特-KY專攻無人機高頻天線/母公司毫米波微波通訊技術實質支援
2634.TW, 漢翔, 台灣航太高階製造龍頭/切入軍用無人機量產結構件與大型無人機複材載具代工

# 二、 無人機邊緣運算大腦、飛控系統與 AI 3D 視覺避障 (神經與眼睛)
# 說明：負責無人機在沒有GPS訊號下的「自主視覺導航」與端點推論避障演算法
2395.TW, 研華, 全球工業電腦龍頭/提供抗震、工規級無人機專用之 Edge AI 嵌入式飛控電腦
3059.TW, 華晶科, 專攻AI視覺晶片與3D深度相機/提供無人機夜間與複雜地形自主避障眼睛
3008.TW, 大立光, 全球光學鏡頭龍頭/獨家/主要供應軍用無人機高階高倍率光學變焦與熱成像鏡頭

# 三、 航太級高頻射頻抗干擾、衛星定位與跳頻通訊 (訊號生命線)
# 說明：無人機在戰場上最怕被電子戰干擾阻斷，必須具備超強抗干擾、跳頻通訊與低軌衛星並網能力
4968.TW, 立積, 高頻射頻前端IC(FEM)大廠/專攻無人機遠距離高功率訊號傳輸與抗干擾技術
6285.TW, 啟碁, 車載與網通巨頭/提供無人機專用防干擾毫米波雷達、衛星導航與V2X通訊模組
3105.TWO, 穩懋, 供應無人機高頻微波/低軌衛星鏈接所需之高階 GaAs 功率放大器(PA)晶圓代工

# 四、 動力系統、特製航太級線束與高能量密度防爆電池 (心臟與血管)
3665.TW, 貿聯-KY, 全球高階特製線束巨頭/供應軍規無人機耐極端氣候、抗拉扯之特製主線束
3211.TW, 順達, 高階鋰電池模組大廠/切入商用與軍用無人機高電壓、高功率高防爆電池組
