# ==============================================================================
# 台灣股市 - 半導體、先進封裝與廠務核心設備重要股票清單
# 建立日期: 2026-06-02
# ==============================================================================

# 一、 Advanced Packaging 先進封裝 (CoWoS/SoIC) 核心設備
3131.TWO, 弘塑, 先進封裝酸槽/濕製程清洗/金屬剝離設備龍頭
3583.TW, 辛耘, 單晶圓清洗機/晶圓再生/先進封裝電鍍設備雙雄
6187.TWO, 萬潤, AI晶片點膠機/散熱片自動貼合機/後段點檢
6640.TW, 均華, 高精度晶粒挑揀機(Die Sorter)/晶片精密貼合

# 二、 次世代載板、雷射與玻璃基板 (TGV) 設備
8027.TW, 鈦昇, 雷射TGV鑽孔機/電漿清洗設備/ACIE聯盟召集人
8064.TW, 東捷, 大尺寸玻璃雷射切割/微裂紋自動化精密修補
2467.TW, 志聖, G2C+聯盟/大尺寸載板真空壓膜/特殊烘烤熱製程
5443.TW, 均豪, 精密自動化搬運/面板級光學貼合/2.5D整合機台

# 三、 3D 高精度光學與電學檢測量測
3030.TW, 德律, 3D玻璃專用AOI檢測/AI伺服器高密度背板量測
3455.TWO, 由田, 高階ABF/CoPoS載板自動光學缺陷檢測
6515.TW, 穎崴, 全球高階AI晶片測試座(Test Socket)/高頻高速量測

# 四、 晶圓廠建廠、廠務與 Euv 核心模組代工
6196.TW, 帆宣, ASML核心模組代工/高階廠務/整線自動化系統整合
3402.TWO, 漢唐, 台積電潔淨室核心承包商/全球晶圓廠建廠指標
5536.TW, 聖暉*, 高階機電整合/精密氣體與特殊化學品供應系統

