# ==============================================================================
# 台灣股市 - 台積電 SoIC (3D 混合鍵合晶片堆疊) 先進封裝核心關鍵技術供應鏈
# 更新日期: 2026-06-14
# ==============================================================================

# 一、 SoIC 技術原創、IP 授權與巨型晶圓代工 (核心大腦)
2330.TW, 台積電, SoIC技術專利原創與全球獨家量產者/擴建竹南、中科與嘉義先進封裝廠
3661.TW, 世芯-KY, 高階AI/HPC客製化ASIC設計/提供支援台積電SoIC堆疊架構之IP與設計服務
3443.TW, 創意, 台積電旗下ASIC設計/自研GLink高頻寬晶片互連IP/完美對接SoIC 3D異質整合

# 二、 3D 晶圓直接鍵合、高精度挑揀與薄化濕製程 (設備軍火商)
# 說明：SoIC沒有凸塊，靠的是兩顆晶圓原子級的精密平整接觸(Hybrid Bonding)，晶圓薄化與清洗極度嚴苛
3583.TW, 辛耘, 獨家/主要供應SoIC前段晶圓化學清洗與特殊蝕刻濕製程機台
3131.TWO, 弘塑, 供應SoIC酸槽與微細晶圓表面金屬剝離(Lift-off)設備/旗下添鴻提供高階特化材料
6640.TW, 均華, 高精度晶粒挑揀機(Die Sorter)/針對3D Stacked晶片提供極低公差之微米級貼合挑揀
1560.TW, 中砂, 獨家供應台積電3D IC薄化製程必備之高階「鑽石碟」與再生晶圓拋光材料

# 三、 3D 垂直堆疊內部微裂紋 (Micro-crack) 與通孔檢測 (AOI與量測)
# 說明：晶片垂直疊放後，內部散熱孔與盲孔無法用肉眼看，極度依賴穿透式3D光學量測
3030.TW, 德律, 領先切入SoIC垂直堆疊內部盲孔與防折射3D AOI光學檢測系統
3455.TWO, 由田, 高階半導體重佈線層(RDL)盲孔瑕疵光學量測權威
6196.TW, 帆宣, 代理與研發半導體高階雷射量測設備/台積電先進封裝整線自動化物流系統主要外包廠

# 四、 SoIC 專用超高密度垂直探針卡與晶圓級測試 (KGD測試)
# 說明：在晶片疊上去前，必須確保每一顆晶粒都是好的(Known Good Die)，否則疊完壞一顆整顆報廢
6515.TW, 穎崴, 獨家供應SoIC/CoWoS高頻高速垂直探針卡(VPC)與晶圓級測試座
6683.TWO, 雍智科技, 專攻先進封裝測試載板(Load Board)與IC微細間距晶片測試盤設計
