# ==============================================================================
# 台灣股市 - CoPoS (共封裝光電基板) 先進載板與光學微對位關鍵技術供應鏈
# 更新日期: 2026-06-14
# ==============================================================================

# 一、 高階 CoPoS 超高層數 ABF 載板與 PCB 主板 (晶片承載核心)
# 說明：技術壁壘在於大面積、高層數(20層以上)製程良率，以及配套玻璃基板增層開發
3037.TW, 欣興, 全球高階ABF載板龍頭/率先切入國際大廠CoPoS光電載板與玻璃基板研發
8046.TW, 南電, 高階伺服器與網通網卡ABF載板/積極提升多層板盲孔與高頻材料良率
2368.TW, 金像電, AI伺服器與高階交換器高多層PCB主板龍頭/阻抗控制與極低耗損技術領先

# 二、 CoPoS 載板專用自動光學缺陷檢測 (AOI) 與高頻高速測試座
# 說明：層數越高、盲孔越小，越依賴防折射、超高解析度的 3D 光學與電學檢測
3455.TWO, 由田, 高階載板AOI檢測絕對權威/獨家布局CoPoS載板重佈線層(RDL)與盲孔量測
3030.TW, 德律, 開發高密度高多層背板專用3D AOI/切入光電整合基板內部缺陷抓漏
6515.TW, 穎崴, 專攻AI與高頻高速光通訊晶片測試座(Test Socket)/提供CoPoS模組最終測試
6683.TWO, 雍智科技, 提供高階IC測試載板與探針卡/針對光電整合微細間距晶片測試盤設計

# 三、 精密真空壓膜、精密熱製程與表面化學清洗
2467.TW, 志聖, G2C+聯盟龍頭/專攻CoPoS高層數壓膜製程所需之「全自動真空壓膜機」與特殊熱烘烤
3583.TW, 辛耘, 半導體先進濕製程清洗設備/負責CoPoS基板在增層過程中的超高純度表面清洗

# 四、 光纖與晶片微米級光學對位、高功率雷射光源 (光學耦合核心)
3363.TWO, 上詮, 光纖與矽光子晶片連接(Optical Pitch)關鍵技術/核心高精度光學對位封裝
3081.TWO, 聯亞, 獨家供應美系光通訊大廠高功率雷射晶片(Laser Source)核心磊晶

